citing_oid	citing_name	cite	cited_oid	cited_row_name	cited_date	pin	max	citing_context
16365	Northstar Founders, LLC v. Hayden Capital USA, LLC, et al.	2018 ND 196	17242	State v. Corona	2018-08-28	31	11	inations. We do not reweigh the evidence or reassess the witnesses’ credibility. *Danuser v. IDA Mktg. Corp.,*2018 ND 196, ¶ 31, 838 N.W.2d 488. A cour
16264	State v. Scheett	2018 ND 155	19255	State v. Cullett	2018-07-11	22	2	impermissible unless it falls within a recognized exception to the warrant requirement. *State v. Nickel,* 2018 ND 155, ¶ 22, 836 N.W.2d 405. The St
16510	Sweeney v. Kirby (cross-reference w/20120339 & 20130152)	2018 ND 106	17160	Interest of R.C. (CONFIDENTIAL)	2018-05-08	19	2	ollowing the date of entry of an order establishing primary residential responsibility. *Kartes v. Kartes,* 2018 ND 106, ¶19, 831 N.W.2d 731. Section
16337	Travelers Cas. Ins. Co. of America, et al. v. Williams Co. Construction, et al.	2008 ND 14	14896	Wold v. Wold	2007-01-23	40	23	is logical and probable or whether it is perverse and clearly contrary to the evidence. *Id.* *Rittenour,* 2008 ND 14, ¶ 40, 656 N.W.2d 691. [¶ 23
16333	Nieuwenhuis v. Nieuwenhuis	2012 ND 168	15913	Matter of S.E. (Confidential)	2012-08-16	34	17	sion is not the product of a rational mental process leading to a reasoned determination. *Schulte v. Kramer,*2012 ND 168, ¶ 34, 820 N.W.2d 318 (citati
16463	Mowan v. Berg	2018 ND 148	17205	RAD Development-Main Street, LLC v. Leunguen-Koundjo, et al.	2018-07-11	18	2	be considered’ when determining the best interests of the child under N.D.C.C. § 14-09-06.2.” *Datz v. Dosch,*2018 ND 148, ¶ 18, 836 N.W.2d 598 (quotin
16778	Adams v. Adams (cross-reference w/20140259)	2018 ND 150	17202	Oien v. State	2018-07-11	15	2	leave the *870 judgment in the samé state as if no appeal had been *taken_” In re Estate of Cashmore,* 2018 ND 150, ¶ 15, 836 N.W.2d 427 (quotin
17024	State v. Majetic	1999 ND 186	18321	Sand v. Sand	1999-10-20	13	2	0, ¶ 9, 823 N.W.2d 774; *State v.* *361 *Chacano,* 2012 ND 113, ¶ 6, 817 N.W.2d 369; *State v. Freed,* 1999 ND 186, ¶ 13, 599 N.W.2d 858; *Stat
16660	Estate of Vaage	2018 ND 106	17160	Interest of R.C. (CONFIDENTIAL)	2018-05-08	13	2	lable.” *Berg v. Dakota Boys Ranch Ass’n,* 2001 ND 122, ¶ 6, 629 N.W.2d 563; *see also Kartes v. Kartes,* 2018 ND 106, ¶ 13, 831 N.W.2d 731 (“[T]hi
16473	State v. Williams	2018 ND 252	17314	State v. Hebert	2018-12-06	13	2	the concept of curtilage is “significantly modified when applied to a multi-family dwelling.” *See Nguyen,* 2018 ND 252, ¶13, 841 N.W.2d 676 (common
16362	Interest of J.A.H. (Consolidated w/20140146)	2009 ND 63	18726	State v. Mitchell	2009-04-30	12	2	rather the district judge, acting as the juvenile court must review the record de novo. *Interest of B.F.,* 2009 ND 63, ¶ 12, 764 N.W.2d 170; N.D. S
13256	Schultze v. Continental Ins. Co.	1997 ND 86	18279	Hintz v. Hintz	1997-05-13	11	2	dental hygienist.” We resolve any doubt about an insurer’s duty to defend in favor of the insured. *Heim,* 1997 ND 86, ¶ 11, 559 N.W.2d 846. Viewed
16741	State v. Williams	2014 ND 96	19050	State v. Simmons	2014-05-09	11	3	efore constitutional protections against unreasonable searches extend to hotel rooms. *See State v. Kuruc,* 2014 ND 96, ¶ 11, 846 N.W.2d 314. Howeve
16446	Irwin, et al. v. City of Minot	2004 ND 87	14007	Reciprocal Discipline of Chinquist	2004-04-26	18	10	not certain to arise on remand. We need not address issues not certain to arise on remand. Jaste v. Gailfus , 2004 ND 87, ¶ 18, 679 N.W.2d 257. IV [
14384	Estate of Pladson v. Traill Co. Social Services, et al.	2008 ND 195	18664	Kucera v. Kucera	2008-10-27	11	3	icaid eligibility is largely a fact-specific inquiry depending on the circumstances of each case. *Linser,* 2008 ND 195, ¶ 11, 672 N.W.2d 648. The “a
13310	Schmitz v. Schmitz                                   (cross-ref. w/980056)	1998 ND 208	18297	Esther Buffalo v. Warren Buffalo, Sr.	1998-12-22	10	2	e to the nature of his profession such fluctuations were contemplated in the previous modification. *Schmitz,*1998 ND 208, ¶ 10, 586 N.W.2d 490. In 199
16469	State v. Taylor	2018 ND 252	17314	State v. Hebert	2018-12-06	9	2	remises. 2014 ND 162, ¶ 5, 851 N.W.2d 178 (citations omitted) (quotation marks omitted) (quoting *Nguyen,* 2018 ND 252, ¶¶ 8-9, 841 N.W.2d 676). [¶
16394	Combs v. Lund	2013 ND 87	18991	Gray v. State	2013-06-19	9	2	is not the product of a rational mental process leading to a reasoned determination.” *Hanisch v. Kroshus,* 2013 ND 87, ¶ 9, 827 N.W.2d 528 (interna
16045	Larson, et al. v. Norheim, et al.	2011 ND 83	15656	A.R. Audit Services, Inc. v. Ulledahl	2011-05-11	9	2	made retroactive, the 2004 version of N.D.C.C. ch. 38-18.1 applies to this case. *See Sorenson v. Felton,* 2011 ND 83, ¶ 9, 793 N.W.2d 799. “Any mi
15463	State v. Poitra	2008 ND 151	15026	Disciplinary Board v. Fisher	2008-08-21	15	8	the statute consistent with con *232 stitutional law, limiting the right. *Id. See also In re Z.C.B.,* 2008 ND 151, ¶15, 669 N.W.2d 478 (1995 am
16986	Langved v. Continental Resources, Inc., et al. (cross-reference 20150335)	2017 ND 46	19224	State v. Borden	2017-03-07	9	3	s to regulate oil and gas development in the state. *See, e.g., Envtl. Driven Solutions, LLC v. Dunn Cty.,* 2017 ND 46, ¶ 9, 890 N.W.2d 841; *GEM R
16877	Stewart v. State	2008 ND 102	18645	Suelzle v. ND Dept. of Transportation	2008-06-05	9	3	e defendant ‘“may only attack the voluntary and intelligent character of the guilty plea.’ ” Damron v. State, 2008 ND 102, ¶ 9 , 663 N.W.2d 650 (quoti
15611	Klug et al. v. City of Minot	2007 ND 187	18613	State v. Gandesbery	2007-12-13	9	3	rities granted by statute or necessarily implied from an express statutory grant.’ ” *City of Fargo v. Malme,*2007 ND 187, ¶ 9, 737 N.W.2d 390 (quoting
16759	City of Napoleon v. Kuhn (cross-ref. w/20140134)	2016 ND 177	19155	Hickey v. State	2016-09-15	7	2	rove, the amount of damages is to be left to the sound discretion of the finder of facts. *State v. Gates,* 2016 ND 177, ¶ 7, 865 N.W.2d 816 (quotati
16039	State v. Romero	2009 ND 128	18690	Fehl-Haber v. State    (Cross Ref w/20060086)	2009-07-09	7	2	e evidence is insufficient to sustain a conviction of the offenses charged.’” *Id.* (quoting *State v. Maki,* 2009 ND 128, ¶ 7 , 767 N.W.2d 852 ). “Whe
15964	State v. Herzig	2009 ND 128	18690	Fehl-Haber v. State    (Cross Ref w/20060086)	2009-07-09	7	2	e evidence is insufficient to sustain a conviction of the offenses charged.’ ” *Id.* (quoting *State v. Maki,*2009 ND 128, ¶ 7, 767 N.W.2d 852). “When
15417	Arnegard, et al. v. Cayko, et al.	2009 ND 187	18701	Ernst v. State	2009-11-17	8	3	look at the language of the statute first to determine the legislature’s intent. *Matrix Properties Corp.,* 2009 ND 187, ¶ 8, 770 N.W.2d 290. Section
17071	Haugrud v. Craig	2016 ND 122	19147	McCluskey v. McCluskey	2016-06-30	5	2	ion to dismiss a complaint under N.D.R.Civ.P. 12(b)(6) is reviewed de novo on appeal. In re Estate of Nelson, 2016 ND 122, ¶5 , 863 N.W.2d 621 . ‘A mot
16659	Black Gold Oil Field Services, LLC v. City of Williston, et al.	2016 ND 183	16787	State v. Kordonowy	2016-09-15	8	5	igh Cty.,* 286 N.W.2d 792, 793, 797 (N.D.1979). *See, e.g., Dockter v. Burleigh Cty. Bd. of Cty. Comm’rs,* 2016 ND 183, ¶ 8, 865 N.W.2d 836 (stating
16602	Estate of Amundson, et al.	2012 ND 108	18857	Gress v. State (cross-reference w/20110047)	2012-06-07	8	5	*214 with other procedural requirements or the motion will be decided on the briefs.” *State v. Parizek,* 2012 ND 108, ¶ 8, 816 N.W.2d 799. [¶ 15]
16306	Baatz v. State (cross-reference w/20130066)	2004 ND 198	14123	Rott v. Connecticut General Life Ins. Co., et al.	2004-11-02	9	6	umstances of each particular case, including the background, the experience, and the conduct of the accused. 2004 ND 198, ¶¶ 8-9, 687 N.W.2d 725 (cita
16291	Devine v. Hennessee	2014 ND 18	16218	State v. Cook	2014-02-10	12	9	motion to amend child support are evidence the district court may consider in deciding the motion. *Schwalk,*2014 ND 18, ¶ 12, 841 N.W.2d 767. “The t
15946	Wenco v. EOG Resources, Inc., et al.	2000 ND 111	13166	Dickie v. Farmers Union Oil Company of LaMoure; Vining Oil & Gas Company	2000-05-25	18	15	ertainty require that the principle be recognized and followed thereafter.” *Dickie v. Farmers Union Oil Co.,*2000 ND 111, ¶ 18, 611 N.W.2d 168. That r
12590	In the Matter of the Estate of Engvald Stensland	1997 ND 68	18276	Vicki J. Klamm and Sharyl R. Lindell, trustees of the Woodrow F. Moffett Trust v. Woodrow W. Moffett	1997-04-22	5	2	unless the order decides some, but not all, of one person’s disputes in an estate. 2 *Zimmerman,* *207 1997 ND 68, ¶ 5, 561 N.W.2d 642 (citing
16473	State v. Williams	2011 ND 242	15762	State v. Mittleider (Consolidated w/20110204)	2011-12-22	15	13	d, that generally includes buildings or other adjuncts used for domestic purposes.’” *State v. Mittleider,* 2011 ND 242, ¶ 15, 809 NW.2d 303 (citatio ||| easonable expectation of privacy in an area is reviewed under the de novo standard of review. *Mittleider,* 2011 ND 242, ¶ 14, 809 N.W.2d 803. [¶ 15
16439	State v. Steen	2003 ND 80	18473	Weninger v. Grzeskowiak	2003-05-03	6	4	ection. By failing to properly object at trial, Steen failed to preserve this issue for review. *Anderson,* 2003 ND 80, ¶ 6, 657 N.W.2d 245. [¶ 7]
16413	Hoverson v. Hoverson (cross-ref. w/20120281)	2018 ND 48	19316	Rebenitsch v. Rebenitsch	2018-02-22	18	16	per month for two years. We conclude the court’s *394 spousal support award is not clearly erroneous.” 2018 ND 48, ¶¶ 16-18, 828 N.W.2d 510. [
16265	Kost v. Kraft (cross-reference w/ 20100159)	2018 ND 46	19314	State v. Groce	2018-02-22	14	12	ly equitable principles which would generally be tried to the court. *E.g., Hayden v. Medcenter One, Inc.,* 2018 ND 46, ¶¶ 14, 22, 828 N.W.2d 775. T
15949	Hammeren v. Hammeren	2008 ND 174	15051	State v. Crabtree	2008-09-23	27	25	6 ND 181, ¶ 7, 721 N.W.2d 1; *Brandner v. Brandner,*2005 ND 111, ¶ 21, 698 N.W.2d 259; *McDowell v. McDowell,*2008 ND 174, ¶ 27, 670 N.W.2d 876; *Richt
15744	State v. Cain	1998 ND 187	12772	Almont Lumber & Equipment Co. v. Dirk	1998-10-30	20	18	the prisoner is serving a sentence on an\*605 other charge, not when he is being held on the pending charge.” 1998 ND 187, ¶ 20, 581 N.W.2d 468. Prior
20315	State v. Golberg	2011 ND 242	15762	State v. Mittleider (Consolidated w/20110204)	2011-12-22	14	13	able expectation of privacy.” State v. Nguyen, 2013 ND 252, ¶ 8, 841 N.W.2d 676 (quoting State v. Mittleider, 2011 ND 242, ¶ 14, 809 N.W.2d 303). Two r
16741	State v. Williams	2011 ND 242	15762	State v. Mittleider (Consolidated w/20110204)	2011-12-22	14	13	of privacy.” *City of Fargo v. Rakowski,* 2016 ND 79, ¶ 9, 877 N.W.2d 814 (quoting *State v. Mittleider,* 2011 ND 242, ¶ 14, 809 N.W.2d 303). If a
16697	City of Fargo v. Rakowski	2011 ND 242	15762	State v. Mittleider (Consolidated w/20110204)	2011-12-22	14	13	rior to conducting a search unless an exception to the warrant requirement applies.” *State v. Mittleider,* 2011 ND 242, ¶ 14, 809 N.W.2d 303 (intern
16408	State v. Apland	2011 ND 242	15762	State v. Mittleider (Consolidated w/20110204)	2011-12-22	14	13	t prior to conducting a search unless an exception to the warrant requirement applies.” State v. Mittleider , 2011 ND 242, ¶ 14, 809 N.W.2d 303. No rea ||| t prior to conducting a search unless an exception to the warrant requirement applies.” State v. Mittleider , 2011 ND 242, ¶ 14, 809 N.W.2d 303. No rea
16362	Interest of J.A.H. (Consolidated w/20140146)	2009 ND 48	15162	Hoff v. Krebs, et al.	2009-04-02	16	15	and mental illness, even though no expert witnesses testified, diagnosing the parent •with a mental illness. 2009 ND 48, ¶¶ 15-16, 768 N.W.2d 783; *
16186	State v. Nguyen	2011 ND 242	15762	State v. Mittleider (Consolidated w/20110204)	2011-12-22	14	13	r unless the government violates an individual’s reasonable expectation of privacy.” *State v. Mittleider,* 2011 ND 242, ¶14, 809 N.W.2d 303. An indi
14206	Gamboa v. State	1998 ND 85	12677	Campbell Farms, Faulkner Farms, and Empire Cattle Co. v. Andrew Wald	1998-04-28	23	22	statute gives the court discretion to allow more than thirty days for the State to respond.” *Bell v. State,*1998 ND 85, ¶ 23, 575 N.W.2d 211. The th
13175	State v. Norrid	1999 ND 187	13018	Renault v. ND Workers Comp. Bureau	1999-10-20	27	26	ourt’s denial of Norrid’s motion to suppress evidence about Olson’s identification of him. *See Syvertson,* 1999 ND 187, ¶¶ 26-27, 697 N.W.2d 644; *
