oid	case_name	date	missing_para	class	pdf_len	pdf_text_head
12605	Wodrich v. Bauske	1998-01-21	42	PDF_LACKS_MARKER		
12605	Wodrich v. Bauske	1998-01-21	43	PDF_LACKS_MARKER		
12605	Wodrich v. Bauske	1998-01-21	44	PDF_LACKS_MARKER		
12623	State of North Dakota v. Angel Espar	1998-01-21	5	SUBSTANTIVE	236	On appeal, Angel argues the accomplice testimony of Jaime Guerrero was not corroborated, his convict
12589	In the Matter of the Judicial Vacanc	1998-02-03	14	SUBSTANTIVE	210	Dated at Bismarck, North Dakota, this 3rd day of February, 1998. Gerald W. VandeWalle, Chief Justice
12624	State of North Dakota v. Janice Schl	1998-02-12	2	SUBSTANTIVE	514	The relevant facts on appeal are not disputed. Janice Schlotman's daughter, Debbie Landreth, and Lon
12620	In the Matter of the Estate of Evely	1998-03-09	13	SIGNATURE	108	Mary Muehlen Maring William A. Neumann Dale V. Sandstrom Ralph J. Erickstad, S.J. Gerald W. VandeWal
12668	Wade James Harty v. Stephanie Jo Har	1998-05-04	17	SIGNATURE	104	Gerald W. VandeWalle, C.J. Dale V. Sandstrom William A. Neumann Herbert L. Meschke David W. Nelson, 
12708	Phillips v. Dickinson Management, In	1998-06-10	14	SIGNATURE	108	Mary Muehlen Maring William A. Neumann Herbert L. Meschke Ralph R. Erickson, D.J. Gerald W. VandeWal
12719	State of North Dakota v. David Allen	1998-07-06	28	SIGNATURE	109	Mary Muehlen Maring Herbert L. Meschke William A. Neumann Everett Nels Olson, D.J. Gerald W. VandeWa
12723	Cervantes v. Drayton Foods, L.L.C.	1998-07-08	14	SIGNATURE	111	Gerald W. VandeWalle, C.J. Herbert L. Meschke Dale V. Sandstrom William A. Neumann Thomas K. Metelma
12733	State of North Dakota v. Kevin Messn	1998-08-18	7	SUBSTANTIVE	144	The jury returned verdicts finding Messner guilty on two counts of gross sexual imposition. Messner 
12739	State of North Dakota v. Greg Weathe	1998-08-18	3	SUBSTANTIVE	629	The complainant’s parents told a nurse, Patricia Reese, the complainant had been raped on June 21, 1
12739	State of North Dakota v. Greg Weathe	1998-08-18	4	SUBSTANTIVE	356	Weatherspoon was charged with gross sexual imposition. At the jury trial, the complainant testified 
12739	State of North Dakota v. Greg Weathe	1998-08-18	5	SUBSTANTIVE	344	Weatherspoon contends the trial court erred in not allowing testimony about the results of a polygra
12739	State of North Dakota v. Greg Weathe	1998-08-18	6	SUBSTANTIVE	1762	Generally, “admission of evidence tending to establish that an accused had been willing or unwilling
12739	State of North Dakota v. Greg Weathe	1998-08-18	7	SUBSTANTIVE	1271	As Weatherspoon has acknowledged, his position has been further undercut by the United States Suprem
12747	Albert 'Rusty' Kouba v. Febco, Inc.,	1998-09-15	3	PDF_LACKS_MARKER		
12747	Albert 'Rusty' Kouba v. Febco, Inc.,	1998-09-15	4	SUBSTANTIVE	548	complaint for failure prejudice to without Febco, Inc., v. Kouba (N.D.1996) (citations omitted), tha
12747	Albert 'Rusty' Kouba v. Febco, Inc.,	1998-09-15	5	SUBSTANTIVE	205	On complaint, conspired employment. Kouba never any the served Unknown amended all defendants his wr
12747	Albert 'Rusty' Kouba v. Febco, Inc.,	1998-09-15	6	PDF_LACKS_MARKER		
12747	Albert 'Rusty' Kouba v. Febco, Inc.,	1998-09-15	7	SUBSTANTIVE	1513	has right party of The and we consider appeal jurisdic is appealability of a on our own initiative e
12747	Albert 'Rusty' Kouba v. Febco, Inc.,	1998-09-15	12	SUBSTANTIVE	65	VANDE NEUMANN and WALLE, C.J., MARING, SANDSTROM, JJ., concur.
12762	Maragos v. Union Oil Company of Cali	1998-10-01	10	SIGNATURE	106	Mary Muehlen Maring Herbert L. Meschke Dale V. Sandstrom Richard W. Grosz, D.J. Gerald W. VandeWalle
12766	State of North Dakota v. Lonnie Vond	1998-10-30	31	SIGNATURE	83	William A. Neumann Mary Muehlen Maring Dale V. Sandstrom Gerald W. VandeWalle, C.J.
12767	Susan Lea Olson v. Howard James Olso	1998-10-30	17	SUBSTANTIVE	146	Dale V. Sandstrom William A. Neumann Mary Muehlen Maring Gerald W. VandeWalle, C.J. 9 The Honorable 
12770	Krizan v. Krizan	1998-10-30	18	SUBSTANTIVE	140	Gerald W. VandeWalle, C.J. Dale V. Sandstrom William A. Neumann Mary Muehlen Maring The Honorable He
12773	Larsen v. Commission on Medical Comp	1998-11-03	31	SUBSTANTIVE	473	Larsen contends revocation of his license was excessive because the sexual relationship did not occu
12773	Larsen v. Commission on Medical Comp	1998-11-03	45	SIGNATURE	86	Dale V. Sandstrom William A. Neumann Maurice R. Hunke, D.J. Gerald W. VandeWalle, C.J.
12773	Larsen v. Commission on Medical Comp	1998-11-03	46	SUBSTANTIVE	71	disqualified. HUNKE, Maurice R., D.J., sitting in place of MARING, J.,
12773	Larsen v. Commission on Medical Comp	1998-11-03	47	SUBSTANTIVE	158	The Honorable Herbert L. Meschke, a member of the Court when this case was heard, retired effective 
12774	Ron Rebel, Jr., Ron Rebel, and Phil 	1998-11-04	16	SIGNATURE	106	Gerald W. VandeWalle, C.J. Dale V. Sandstrom William A. Neumann Mary Muehlen Maring William M. Beede
12774	Ron Rebel, Jr., Ron Rebel, and Phil 	1998-11-04	17	SUBSTANTIVE	110	disqualified, who retired effective October 1, 1998. William M. Beede, S.J., sitting in place of Mes
12775	DeCoteau v. State	1998-11-19	14	SIGNATURE	83	Gerald W. VandeWalle, C.J. Dale V. Sandstrom William A. Neumann Mary Muehlen Maring
12778	Hibl v. North Dakota Workers Compens	1998-11-19	14	SIGNATURE	83	Gerald W. VandeWalle, C.J. Dale V. Sandstrom William A. Neumann Mary Muehlen Maring
12778	Hibl v. North Dakota Workers Compens	1998-11-19	15	SUBSTANTIVE	158	The Honorable Herbert L. Meschke, a member of the Court when this case was heard, retired effective 
12779	Gregg v. Gregg	1998-11-19	29	SIGNATURE	83	Mary Muehlen Maring William A. Neumann Dale V. Sandstrom Gerald W. VandeWalle, C.J.
12780	Schmitz v. Schmitz	1998-11-19	20	SIGNATURE	83	William A. Neumann Mary Muehlen Maring Dale V. Sandstrom Gerald W. VandeWalle, C.J.
12781	City of Jamestown v. Snellman; City 	1998-11-19	16	SUBSTANTIVE	137	Gerald W. VandeWalle, C.J. Dale V. Sandstrom William A. Neumann Mary Muehlen Maring The Honorable Ca
12784	In the Matter of the Estate of Victo	1998-12-22	18	SIGNATURE	83	Dale V. Sandstrom William A. Neumann Mary Muehlen Maring Gerald W. VandeWalle, C.J.
12784	In the Matter of the Estate of Victo	1998-12-22	19	SUBSTANTIVE	166	The Honorable Herbert L. Meschke, a member of the Court when this case was heard, retired effective 
12786	In the Interest of Hunter James Botn	1998-12-22	18	SIGNATURE	83	William A. Neumann Mary Muehlen Maring Dale V. Sandstrom Gerald W. VandeWalle, C.J.
12791	Saakian v. North Dakota Workers Comp	1998-12-22	26	SUBSTANTIVE	772	We conclude a reasoning mind reasonably could have found the weight of the evidence from the entire 
12791	Saakian v. North Dakota Workers Comp	1998-12-22	28	SIGNATURE	83	Dale V. Sandstrom William A. Neumann Mary Muehlen Maring Gerald W. VandeWalle, C.J.
12791	Saakian v. North Dakota Workers Comp	1998-12-22	29	SUBSTANTIVE	158	The Honorable Herbert L. Meschke, a member of the Court when this case was heard, retired effective 
12793	State of North Dakota v. David Hafne	1998-12-22	30	SUBSTANTIVE	369	Mary Muehlen Maring William A. Neumann Dale V. Sandstrom Gerald W. VandeWalle, C.J. 3It should be no
12796	Dundee Mutual Insurance Company v. E	1998-12-22	17	SUBSTANTIVE	140	Mary Muehlen Maring William A. Neumann Dale V. Sandstrom Gerald W. VandeWalle, C.J. The Honorable Ca
12802	Paul Vraa v. The North Dakota Worker	1999-01-27	20	SUBSTANTIVE	142	Dale V. Sandstrom William A. Neumann Mary Muehlen Maring Gerald W. VandeWalle, C.J. 12 The Honorable
12810	Ruby V. Weber n/k/a Ruby V. Moos v. 	1999-01-27	20	SUBSTANTIVE	140	Dale V. Sandstrom William A. Neumann Mary Muehlen Maring Gerald W. VandeWalle, C.J. The Honorable Ca
12811	State of North Dakota v. Russell V. 	1999-01-27	25	SIGNATURE	87	Dale V. Sandstrom William A. Neumann Mary Muehlen Maring Gerald W. VandeWalle, C.J. 11
12815	State of North Dakota v. James Willi	1999-01-29	22	SIGNATURE	92	Mary Muehlen Maring William A. Neumann Cynthia Rothe-Seeger, D.J. Gerald W. VandeWalle, C.J.
12815	State of North Dakota v. James Willi	1999-01-29	23	SUBSTANTIVE	142	Sandstrom, J., disqualified. Cynthia Rothe-Seeger, D. J., sitting in place of The Honorable Carol Ro
12816	City of Devils Lake v. Petranellea C	1999-02-01	15	SIGNATURE	123	Dale V. Sandstrom William A. Neumann Mary Muehlen Maring, Acting Chief Justice Carol Ronning Kapsner
12817	Midwest Medical Insurance Company v.	1999-02-08	14	SIGNATURE	117	Gerald W. VandeWalle, C.J. Dale V. Sandstrom William A. Neumann Bruce E. Bohlman, D. J. Bruce B. Has
12843	Hendrickson v. Hendrickson	1999-02-25	16	SIGNATURE	104	Gerald W. VandeWalle, C.J. Dale V. Sandstrom William A. Neumann Mary Muehlen Maring Benny A. Graff, 
12844	Stuart v. Stammen	1999-02-25	21	SIGNATURE	111	Dale V. Sandstrom Carol Ronning Kapsner Mary Muehlen Maring Everett Nels Olson, D.J. Gerald W. Vande
12845	Burlington Northern and Sante Fe Rai	1999-02-26	32	SIGNATURE	115	William A. Neumann Dale V. Sandstrom Carol Ronning Kapsner M. Richard Geiger, D.J. Mary Muehlen Mari
12859	Weigel v. Weigel	1999-03-24	12	SIGNATURE	112	William A. Neumann Mary Muehlen Maring Carol Ronning Kapsner Ralph R. Erickson, D.J. Gerald W. Vande
12866	Reeves v. Chepulis	1999-04-06	5	SUBSTANTIVE	751	In March 1997 the parties stipulated to a temporary physical custody and visitation schedule. The pa
12871	Fox v. Fox	1999-04-12	26	SIGNATURE	107	Dale V. Sandstrom William A. Neumann Mary Muehlen Maring Bruce E. Bohlman, D.J. Gerald W. VandeWalle
12872	Stalcup v. Job Service North Dakota	1999-04-12	25	SIGNATURE	110	Gerald W. VandeWalle, C.J. Carol Ronning Kapsner Mary Muehlen Maring William A. Neumann Richard W. G
12883	State of North Dakota v. Peter L. Mc	1999-04-29	11	SIGNATURE	104	Mary Muehlen Maring William A. Neumann Dale V. Sandstrom Zane Anderson, D.J. Gerald W. VandeWalle, C
12884	State of North Dakota v. Lynn C. Gou	1999-04-29	21	SIGNATURE	112	Carol Ronning Kapsner Mary Muehlen Maring William A. Neumann Everett Nels Olson, D.J. Gerald W. Vand
13160	In the Matter of the Application for	1999-05-07	6	SIGNATURE	65	William A. Neumann Mary Muehlen Maring Ralph R. Erickson, D.J. 1
12902	Interest of M.S.  (CONFIDENTIAL - M.	1999-06-18	3	SUBSTANTIVE	811	On May 5, 1999, the district court issued its findings of fact and conclusions of law. The district 
12902	Interest of M.S.  (CONFIDENTIAL - M.	1999-06-18	4	SUBSTANTIVE	229	During oral argument on appeal, M.S. conceded he was mentally ill, chemically dependent, and in need
12902	Interest of M.S.  (CONFIDENTIAL - M.	1999-06-18	5	SUBSTANTIVE	820	When reviewing an order for continued treatment we are particularly sensitive to the liberty interes
12902	Interest of M.S.  (CONFIDENTIAL - M.	1999-06-18	6	SUBSTANTIVE	609	In this case, the State and M.S. both presented expert testimony and evidence. Dr. Robert Gulkin, a 
12902	Interest of M.S.  (CONFIDENTIAL - M.	1999-06-18	7	SUBSTANTIVE	340	Dr. Leonardo Arevalo testified on behalf of the State. He indicated he was not comfortable with Dr. 
12955	Moilan v. Moilan	1999-06-18	19	SUBSTANTIVE	232	Arne was awarded property valued at $40,517, or 39 percent of the marital estate; Melissa received p
12916	Nefzger v. Nefzger	1999-06-23	27	SIGNATURE	106	William A. Neumann Carol Ronning Kapsner Dale V. Sandstrom Zane Anderson, D.J. Gerald W. VandeWalle,
12925	Fargo Foods, Inc., et al. v. Bernabu	1999-06-25	22	SIGNATURE	109	Gerald W. VandeWalle, C.J. Dale V. Sandstrom William A. Neumann Carol Ronning Kapsner James H. O’Kee
12932	State v. Leinen	1999-07-13	7	SUBSTANTIVE	185	The trial court has broad discretion in evidentiary matters and, absent an abuse of discretion, we w
12933	Love, f/k/a Carsen v. DeWall	1999-07-15	16	SIGNATURE	118	Carol Ronning Kapsner Mary Muehlen Maring William A. Neumann Zane Anderson, D.J. Gerald W. VandeWall
12934	Morrell v. ND Dept. of Transportatio	1999-07-15	13	SUBSTANTIVE	1205	Morrell was prejudiced by the Department’s insufficient notice. As we emphasized in Saakian, at ¶ 11
12934	Morrell v. ND Dept. of Transportatio	1999-07-15	14	SUBSTANTIVE	1182	It is well-settled that the moving party, here the Department, has the burden of proof in an adminis
12934	Morrell v. ND Dept. of Transportatio	1999-07-15	15	SUBSTANTIVE	39	The district court’s order is affirmed.
12934	Morrell v. ND Dept. of Transportatio	1999-07-15	16	SIGNATURE	118	Gerald W. VandeWalle, C.J. Carol Ronning Kapsner Mary Muehlen Maring William A. Neumann Norman J. Ba
12934	Morrell v. ND Dept. of Transportatio	1999-07-15	17	SUBSTANTIVE	1003	Norman J. Backes, D.J., sitting in place of Sandstrom, J., disqualified. ÿÿÿ A continuance could cre
12942	Ketelsen v. Ketelsen	1999-07-29	23	SUBSTANTIVE	95	Gaye Ketelsen asserts that the trial court erred in terminating her spousal support.
12942	Ketelsen v. Ketelsen	1999-07-29	24	SUBSTANTIVE	752	The original decree was entered on June 25, 1997. The trial court found at that time Dale Ketelsen e
12942	Ketelsen v. Ketelsen	1999-07-29	25	SUBSTANTIVE	1350	Following the entry of the original judgment, Gaye Ketelsen moved to alter or amend the judgment req
12942	Ketelsen v. Ketelsen	1999-07-29	26	SUBSTANTIVE	164	In accordance with the court’s memorandum, an amended judgment was filed on October 7, 1997. No appe
12942	Ketelsen v. Ketelsen	1999-07-29	27	SIGNATURE	91	On February 17, 1998, Dale Ketelsen notified Gaye Ketelsen he would retire on June 1, 1998.
12944	Tibor v. Tibor, n/k/a Zich (Cross-re	1999-07-29	21	SUBSTANTIVE	899	Under the third Stout factor the court must consider the noncustodial parent’s motives for opposing 
12952	Gottbreht v. State of ND, et al.	1999-08-02	15	SIGNATURE	106	Dale V. Sandstrom William A. Neumann Carol Ronning Kapsner Everett Olson, D.J. Gerald W. VandeWalle,
12953	Grosinger v. M.D.     (CONFIDENTIAL)	1999-08-03	41	SIGNATURE	108	Mary Muehlen Maring William A. Neumann Carol Ronning Kapsner Bruce Bohlman, D.J. Gerald W. VandeWall
12960	Harfield, et al. v. Tate	1999-08-25	21	SUBSTANTIVE	619	Having determined the court erred in giving the “distracting circumstances” instruction, we conclude
12971	Jose, et al. v. Norwest Bank North D	1999-08-30	34	SIGNATURE	118	William A. Neumann Mary Muehlen Maring Carol Ronning Kapsner John C. McClintock, Jr., D.J. Gerald W.
12974	CAP Partners v. Cameron, et al.	1999-09-01	23	SIGNATURE	108	Gerald W. VandeWalle, C.J. Ralph J. Erickstad, S.J. Dale V. Sandstrom William A. Neumann Mary Muehle
13001	Laude v. Laude	1999-10-20	17	SIGNATURE	110	William A. Neumann Dale V. Sandstrom Carol Ronning Kapsner Burt L. Riskedahl, D.J. Gerald W. VandeWa
13019	Barnes v. St. Joseph's Hospital	1999-10-25	21	SIGNATURE	107	William A. Neumann Mary Muehlen Maring Dale V. Sandstrom Bruce E. Bohlman, D.J. Gerald W. VandeWalle
13050	Dimond v. State Board of Higher Educ	1999-12-03	27	SIGNATURE	106	Mary Muehlen Maring William A. Neumann Dale V. Sandstrom James M. Bekken, D.J. Gerald W. VandeWalle,
13041	Mid-Dakota Clinic v. Kolsrud	1999-12-22	13	SUBSTANTIVE	1281	The Minnesota Court of Appeals considered this very issue in Anchor Gas, Inc. v. Border Black Top, I
13041	Mid-Dakota Clinic v. Kolsrud	1999-12-22	14	SUBSTANTIVE	861	Finally, legislatively expressed public policy in a similar area of the law suggests North Dakota sh
13041	Mid-Dakota Clinic v. Kolsrud	1999-12-22	15	SUBSTANTIVE	713	The Legislature’s elimination of this requirement in the garnishment statutes suggests the Legislatu
13041	Mid-Dakota Clinic v. Kolsrud	1999-12-22	16	SUBSTANTIVE	305	Mid-Dakota next claims the trial court erred in concluding post-judgment pleadings must be served in
13041	Mid-Dakota Clinic v. Kolsrud	1999-12-22	17	SUBSTANTIVE	904	Rule 7(a), N.D.R.Civ.P., defines pleadings as a complaint, answer, reply to a counterclaim and an an
13059	Hendrickson v. Hendrickson (Cross re	2000-01-03	26	SIGNATURE	108	Mary Muehlen Maring William A. Neumann Dale V. Sandstrom William W. McLees, D.J. Gerald W. VandeWall
13060	Lang v. Schafer	2000-01-05	11	SIGNATURE	111	Gerald W. VandeWalle, C.J. Dale V. Sandstrom Mary Muehlen Maring Ronald L. Hilden, D.J. Gordon O. Ho
13073	Aho, et al. v. Maragos, et al. (Cros	2000-01-21	15	SIGNATURE	109	Mary Muehlen Maring Carol Ronning Kapsner Dale V. Sandstrom Maurice R. Hunke, D.J. Gerald W. VandeWa
13070	Weigel v. Weigel	2000-01-24	18	SUBSTANTIVE	197	William A. Neumann Carol Ronning Kapsner Mary Muehlen Maring Everett Nels Olson, D.J. Gerald W. Vand
13074	Webster v. Regan	2000-02-18	10	PDF_LACKS_MARKER		
13091	Berg v. Berg	2000-02-25	29	SIGNATURE	108	Dale V. Sandstrom William A. Neumann Mary Muehlen Maring Gerald W. VandeWalle, C.J. Ralph R. Erickso
13092	Berg v. Berg    (Cross-reference w/9	2000-02-25	16	SIGNATURE	108	Gerald W. VandeWalle, C.J. Dale V. Sandstrom William A. Neumann Mary Muehlen Maring Ralph R. Erickso
13094	Van Valkenburg, et al. v. Paracelsus	2000-03-03	38	SIGNATURE	107	Dale V. Sandstrom William A. Neumann Mary Muehlen Maring Gerald G. Glaser, S.J. Gerald W. VandeWalle
13119	Roe v. Rothe-Seeger, et al.	2000-03-27	9	SIGNATURE	117	William A. Neumann Dale V. Sandstrom Bruce B. Haskell, D.J. John C. McClintock, Jr., D.J. Gerald W. 
13120	Abdi v. State	2000-03-30	33	SUBSTANTIVE	413	Abdi argues detention without possibility of bail and deportation under federal immigration law cons
13120	Abdi v. State	2000-03-30	34	SUBSTANTIVE	77	We affirm the judgment denying Abdi’s application for post-conviction relief.
13120	Abdi v. State	2000-03-30	35	SUBSTANTIVE	629	Gerald W. VandeWalle, C.J. 2We have often said in direct appeals where the record is inadequate to r
13120	Abdi v. State	2000-03-30	36	SUBSTANTIVE	75	William F. Hodny, S. J., sitting in place of Kapsner, J., disqualified. 14
13120	Abdi v. State	2000-03-30	37	PDF_LACKS_MARKER		
13142	Ash, et al. v. Traynor, et al. (Cons	2000-04-10	13	SIGNATURE	109	Carol Ronning Kapsner Mary Muehlen Maring William A. Neumann Donovan Foughty, D.J. Gerald W. VandeWa
13133	Baier v. North Dakota Workers Compen	2000-04-25	26	SIGNATURE	84	William A. Neumann Mary Muehlen Maring Dale V. Sandstrom Gerald W. VandeWalle, C.J.
13136	Webster, et al. v. Regan	2000-04-27	16	SIGNATURE	109	William A. Neumann Carol Ronning Kapsner Dale V. Sandstrom Gerald G. Glaser, S.J. Gerald W. VandeWal
13137	Matrix Properties Corp., fka E.W. Wy	2000-04-27	26	SIGNATURE	112	Gerald W. VandeWalle, C.J. Dale V. Sandstrom William A. Neumann Mary Muehlen Maring 8 Ronald L. Hild
13139	Estate of Robinson (Consolidated w/9	2000-04-28	18	SIGNATURE	118	Mary Muehlen Maring William A. Neumann Dale V. Sandstrom Donovan J. Foughty, D. J. Carol Ronning Kap
13156	Hopfauf v. North Dakota Workers Comp	2000-05-11	13	SIGNATURE	84	Mary Muehlen Maring William A. Neumann Dale V. Sandstrom Gerald W. VandeWalle, C.J.
13166	Dickie v. Farmers Union Oil Company 	2000-05-25	14	SIGNATURE	84	William A. Neumann Mary Muehlen Maring Dale V. Sandstrom Gerald W. VandeWalle, C.J.
13178	Kautzman v. Kautzman(consol. w/99038	2000-05-30	11	SIGNATURE	107	Dale V. Sandstrom William A. Neumann Mary Muehlen Maring Richard W. Grosz, D.J. Gerald W. VandeWalle
13179	Buchholz v. City of Oriska	2000-05-30	7	SIGNATURE	109	Mary Muehlen Maring William A. Neumann Dale V. Sandstrom Michael O. McGuire, D.J. Gerald W. VandeWal
13183	Negaard-Cooley v. North Dakota Worke	2000-06-08	24	SIGNATURE	84	Gerald W. VandeWalle, C.J. Dale V. Sandstrom William A. Neumann Mary Muehlen Maring
13184	Hoffner v. ND Workers Comp. Bur., et	2000-06-14	23	SUBSTANTIVE	667	Second, Hoffner argues he was being compensated at the time of the accident. He asserts the workers 
13184	Hoffner v. ND Workers Comp. Bur., et	2000-06-14	24	SUBSTANTIVE	614	Hoffner was not paid for travel to East Grand Forks, because the trip usually began from Fargo betwe
13184	Hoffner v. ND Workers Comp. Bur., et	2000-06-14	25	SUBSTANTIVE	648	Hoffner asserts the ALJ applied a “substantial evidence” standard to the findings of fact rather tha
13184	Hoffner v. ND Workers Comp. Bur., et	2000-06-14	26	SUBSTANTIVE	1006	Substantial evidence is defined as less than a preponderance. See Hanson v. Industrial Comm’n. of No
13184	Hoffner v. ND Workers Comp. Bur., et	2000-06-14	27	SUBSTANTIVE	868	Hoffner challenges two of the ALJ’s Findings of Fact, claiming they are not supported by a preponder
13184	Hoffner v. ND Workers Comp. Bur., et	2000-06-14	31	SIGNATURE	107	Gerald W. VandeWalle, C.J. Dale V. Sandstrom William A. Neumann Mary Muehlen Maring James H. O’Keefe
13185	Douville, et al. v. Pembina Co. Wate	2000-06-14	26	SIGNATURE	110	Gerald W. VandeWalle, C.J. Dale V. Sandstrom William A. Neumann Mary Muehlen Maring Donald L. Jorgen
13190	Montgomery v. Disciplinary Board	2000-06-23	22	SIGNATURE	111	Gerald W. VandeWalle, C.J. Dale V. Sandstrom Carol Ronning Kapsner Mary Muehlen Maring Ralph R. Eric
13193	Interest of N.C.C.	2000-06-29	3	SUBSTANTIVE	981	In July 1997, the father moved to establish structured visitation. He asserted the mother had often 
13193	Interest of N.C.C.	2000-06-29	4	SUBSTANTIVE	224	Without obtaining the father’s or the court’s permission, the mother moved with the child to Oklahom
13193	Interest of N.C.C.	2000-06-29	5	SUBSTANTIVE	565	Emphasizing the mother’s move from the state without permission, the mother’s continued lack of coop
13193	Interest of N.C.C.	2000-06-29	6	SUBSTANTIVE	797	After a hearing, the court issued a decision in March 1999, finding there had been a material change
13193	Interest of N.C.C.	2000-06-29	7	SUBSTANTIVE	746	On April 23, 1999, the mother filed a motion for a stay and for further amendment of the judgment. I
13200	Johnson Farms v. McEnroe, et al.    	2000-07-03	19	SIGNATURE	109	Mary Muehlen Maring Carol Ronning Kapsner William A. Neumann James M. Bekken, D.J. Gerald W. VandeWa
13201	ND Securities Commissioner v. Juran 	2000-07-03	29	SIGNATURE	109	Carol Ronning Kapsner Mary Muehlen Maring William A. Neumann James M. Bekken, D.J. Gerald W. VandeWa
13202	In the Matter of the Application for	2000-07-05	7	SIGNATURE	64	Gerald W. VandeWalle, C.J. Dale V. Sandstrom William A. Neumann
13204	Mead, et al. v. Farmers Union Mutual	2000-07-07	24	SIGNATURE	107	Dale V. Sandstrom William A. Neumann Mary Muehlen Maring William F. Hodny, S.J. Gerald W. VandeWalle
13203	Disciplinary Board v. Keller	2000-07-19	10	SIGNATURE	83	Gerald W. VandeWalle, C.J. William A. Neumann Dale V. Sandstrom Mary Muehlen Maring
13209	Holen v. North Dakota Workers Compen	2000-07-20	15	SIGNATURE	84	William A. Neumann Mary Muehlen Maring Dale V. Sandstrom Gerald W. VandeWalle, C.J.
13226	Snortland v. State ex rel. Dept. of 	2000-08-23	20	SIGNATURE	101	Carol Ronning Kapsner Dale V. Sandstrom William A. Neumann Mary Muehlen Maring Gordon O. Hoberg, S.J
13227	Dakota Northwestern Assoc. Ltd. Part	2000-08-24	17	SIGNATURE	113	Mary Muehlen Maring William A. Neumann Carol Ronning Kapsner Gerald W. VandeWalle, C.J. Laurie A. Fo
13228	Grinnell Mut. Reins. Co. v. Farm & C	2000-08-24	26	SIGNATURE	115	Carol Ronning Kapsner Dale V. Sandstrom William A. Neumann Allan L. Schmalenberger, D.J. Gerald W. V
13232	City of West Fargo v. Hawkins	2000-09-06	23	SIGNATURE	112	Gerald W. VandeWalle, C.J. Dale V. Sandstrom William A. Neumann Mary Muehlen Maring John C. McClinto
13250	Kautzman v. Kautzman    (Cross ref. 	2000-10-30	23	SIGNATURE	107	Gerald W. VandeWalle, C.J. Dale V. Sandstrom William A. Neumann Mary Muehlen Maring Richard W. Grosz
13251	Center Mutual Insurance Co. v. Thomp	2000-10-31	26	SIGNATURE	127	William A. Neumann Mary Muehlen Maring Dale V. Sandstrom Allan L. Schmalenberger, D.J. 8 Carol Ronni
13274	State v. Glass	2000-12-12	26	SIGNATURE	111	Dale V. Sandstrom V William A. Neumann Mary Muehlen Maring William W. McLees, D.J. Gerald W. VandeWa
13285	Berger v. ND Workers Comp. et al.	2000-12-27	18	SIGNATURE	110	William A. Neumann Mary Muehlen Maring Dale V. Sandstrom Lawrence A. Leclerc, D.J. Gerald W. VandeWa
13286	State v. Helmenstein	2000-12-27	37	SIGNATURE	114	Dale V. Sandstrom IV William A. Neumann Mary Muehlen Maring Lawrence A. Leclerc, D.J. Gerald W. Vand
