citing_oid	citing_date	class	bad_cite	good_cite	pdf_verdict	context
13652	2002-09-20	NW_DIGIT_FLIP	568 N.W.2d 394	563 N.W.2d 394	VERIFIED	d that Antonyio, therefore, had a “clear duty to support.” *Edwards v. Edwards,*1997 ND 94, ¶ 17, 56
13669	2002-11-15	ND_DIGIT_FLIP	2000 ND 213	2000 ND 211	PDF_HAS_BAD	ments, 2001 ND 128, 636 N.W.2d 674; Matrix Properties Corp. v. TAG Investments, 2000 ND 213, 622 N.W
13669	2002-11-15	ND_DIGIT_FLIP	2000 ND 213	2000 ND 211	PDF_HAS_BAD	cting pursuant to this Court's December 12, 2000, opinion in Matrix Properties, 2000 ND 213, 622 N.W
13695	2002-12-20	NW_DIGIT_FLIP	682 N.W.2d 419	632 N.W.2d 419	VERIFIED	icers performing community caretaking functions. *See Lapp v. Dep’t of Transp.,*2001 ND 140, ¶¶ 14-1
13697	2002-12-20	NW_DIGIT_FLIP	608 N.W.2d 896	603 N.W.2d 896	VERIFIED	nd defiant custodial parent. *Anderson**,*at ¶ 10; *Hendrickson v. Hendrickson,*2000 ND 1, ¶ 18, 608
13741	2003-03-05	NW_DIGIT_FLIP	636 N.W.2d 139	635 N.W.2d 139	VERIFIED	’s determination is supported by the record evidence. *McDowell v. McDowell,* 2001 ND 176, ¶23, 636 
13751	2003-03-26	NW_DIGIT_FLIP	571 N.W.2d 382	571 N.W.2d 332	VERIFIED	loyees are acting within the scope of their employment. *Nelson v. Gillette,* 1997 ND 205, ¶ 10, 571
13764	2003-04-15	ND_DIGIT_FLIP	2008 ND 42	2003 ND 42	VERIFIED	compensable medical condition. *See Gronfur v. North Dakota Workers Comp. Fund,*2008 ND 42, ¶¶ 6, 11
13784	2003-04-15	NW_DIGIT_FLIP	638 N.W.2d 142	633 N.W.2d 142	VERIFIED	limited review of child custody awards in divorce cases. *Stoppler v. Stoppler,*2001 ND 148, ¶ 7, 63
13826	2003-07-16	ND_DIGIT_FLIP	2000 ND 183	2000 ND 133	VERIFIED	e entry of judgment. *See*N.D.C.C. § 28-20-35; *see also Ruscheinsky v. Ulrich,*2000 ND 183, ¶ 9, 61
13859	2003-08-20	NW_DIGIT_FLIP	619 N.W.2d 856	619 N.W.2d 855	VERIFIED	fication of custody and entitlement to an evidentiary hearing. *See O’Neill,* 2000 ND 200, ¶ 8, 619 
13863	2003-08-22	ND_DIGIT_FLIP	2008 ND 51	2003 ND 51	VERIFIED	cannot be raised for the first time on appeal. *Questa Res., Inc. v. Stott,* 2008 ND 51, ¶ 6, 658 N.
13864	2003-09-23	ND_DIGIT_FLIP	2000 ND 118	2000 ND 113	VERIFIED	f discretion subject to the abuse of discretion standard of review. *Schiff,* 2000 ND 118, ¶ 31, 611
13895	2003-11-13	ND_DIGIT_FLIP	2008 ND 135	2003 ND 135	VERIFIED	on of visitation into the hands of the child. *See Montgomery v. Montgomery,* 2008 ND 135, ¶ 22, 667
13913	2003-12-02	NW_DIGIT_FLIP	641 N.W.2d 88	641 N.W.2d 83	VERIFIED	issues raised for the first time on appeal. *See Peters-Riemers v. Riemers,* 2002 ND 49, ¶ 9, 641 N.
13994	2004-04-13	NW_DIGIT_FLIP	658 N.W.2d 698	653 N.W.2d 698	VERIFIED	overy of false testimony and other credibility problems. *State v. Skor-ick,* 2002 ND 190, ¶ 9, 658 
13999	2004-04-13	NW_DIGIT_FLIP	608 N.W.2d 282	608 N.W.2d 232	VERIFIED	constitutional right to appeal a state criminal conviction. *State v. Bell,* 2000 ND 58, ¶ 17, 608 N
14016	2004-05-05	ND_DIGIT_FLIP	2008 ND 36	2003 ND 36	VERIFIED	onsistency in the verdicts. *Moran**,* at 78. [¶ 12] In *State v. Jahner,* 2008 ND 36, ¶ 2, 657 N.W.
14035	2004-06-03	NW_DIGIT_FLIP	682 N.W.2d 424	632 N.W.2d 424	VERIFIED	d’s decision, and she cannot now retract or object to the waiver. *See Gale,* 2001 ND 141, ¶ 14, 682
14039	2004-06-03	NW_DIGIT_FLIP	608 N.W.2d 173	603 N.W.2d 173	VERIFIED	umstances when the accused has suffered serious injustice. *State v. Mathre,* 1999 ND 224, ¶ 5, 608 
14055	2004-06-30	NW_DIGIT_FLIP	682 N.W.2d 419	632 N.W.2d 419	VERIFIED	in determining reasonable suspicion. *Lapp v. North Dakota Dep’t of Transp.,* 2001 ND 140, ¶ 13, 682
14059	2004-06-30	NW_DIGIT_FLIP	681 N.W.2d 167	631 N.W.2d 167	VERIFIED	s arguments raised for the first time on appeal. *See, e.g., State v. Kelly,* 2001 ND 135, ¶ 29, 681
14103	2004-09-17	NW_DIGIT_FLIP	680 N.W.2d 46	630 N.W.2d 46	VERIFIED	aim for relief. *Iglehart* *,* at ¶ 10 (quoting *Anderson v. Meyer Broad. Co.,* 2001 ND 125, ¶ 14 , 
14107	2004-10-12	NW_DIGIT_FLIP	678 N.W.2d 615	673 N.W.2d 615	VERIFIED	erred in granting Simonson and Omdahl summary judgment. In *Zuger v. State,* 2004 ND 16, ¶¶ 7-8, 678
14113	2004-10-12	ND_DIGIT_FLIP	2008 ND 180	2003 ND 180	VERIFIED	f there is substantial evidence to warrant a conviction.” *State v. Knowels,* 2008 ND 180, ¶ 6, 671 
14127	2004-11-02	NW_DIGIT_FLIP	674 N.W.2d 402	675 N.W.2d 402	BOTH	from the evidence. *Groleau,* 2004 ND 55, ¶ 5, 676 N.W.2d 763; *Muhammed,* 2004 ND 46, ¶ 8, 674 N.W.
14171	2005-01-19	ND_DIGIT_FLIP	2008 ND 140	2003 ND 140	VERIFIED	ct to an irregularity at trial is a waiver of the issue. *Kautzman v. Kautzman,*2008 ND 140, ¶ 10, 6
14217	2005-02-23	NW_DIGIT_FLIP	680 N.W.2d 236	680 N.W.2d 235	VERIFIED	is in a better position to ascertain the true facts. *See State v. Guthmiller,*2004 ND 100, ¶ 7, 680
14206	2005-03-04	ND_DIGIT_FLIP	1998 ND 85	1998 ND 35	VERIFIED	etion to allow more than thirty days for the State to respond.” *Bell v. State,*1998 ND 85, ¶ 23, 57
14243	2005-05-17	NW_DIGIT_FLIP	638 N.W.2d 142	633 N.W.2d 142	VERIFIED	ial mother, Ryan, nor the noncustodial father, Woods. In *Stoppler v. Stoppler,*2001 ND 148, 638 N.W
14252	2005-06-02	ND_DIGIT_FLIP	2001 ND 208	2001 ND 203	VERIFIED	s, findings, and conclusions *313 of the lower court. *Interest of D.P.,* 2001 ND 208, ¶3, 636 N.W.2
14255	2005-06-02	NW_DIGIT_FLIP	638 N.W.2d 157	633 N.W.2d 157	VERIFIED	heir own laws and to be ruled by them. *McKenzie County Soc. Serv. Bd. v. C.G.,*2001 ND 151, ¶ 15, 6
14381	2005-12-20	ND_DIGIT_FLIP	2008 ND 30	2003 ND 30	VERIFIED	herewith, but may be admissible for some other purpose. *See State v. Anderson,*2008 ND 30, ¶¶ 13-14
14409	2006-01-31	NW_DIGIT_FLIP	705 N.W.2d 880	705 N.W.2d 830	VERIFIED	nd governed by the North Dakota Rules of Civil Procedure. *Johnson v. State,* 2005 ND 188, ¶ 6, 705 
18560	2006-10-17	ND_DIGIT_FLIP	2004 ND 221	2004 ND 222	PDF_HAS_BAD	pealing from the denial of a motion to reverse his conviction); State v. Ernst, 2004 ND 221, ¶ 1, 69
14660	2006-11-28	NW_DIGIT_FLIP	721 N.W.2d 881	721 N.W.2d 381	VERIFIED	cause to search the vehicle. [¶ 8] As we recently explained in *State v. Graf,*2006 ND 196, ¶ 7, 721
18595	2007-02-01	ND_DIGIT_FLIP	2004 ND 221	2004 ND 222	PDF_HAS_BAD	State, 2006 ND 203; State v. Ernst, 2006 ND 41, 710 N.W.2d 678; State v. Ernst, 2004 ND 221, 691 N.W
14722	2007-04-10	ND_DIGIT_FLIP	2002 ND 38	2002 ND 33	VERIFIED	ence, found in N.D.C.C. § 59-01-16, to will contests. *See Estate of Howser,* 2002 ND 38, ¶ 7, 639 N
14813	2007-08-30	NW_DIGIT_FLIP	721 N.W.2d 38	721 N.W.2d 33	VERIFIED	there is coverage for property damage is the scope of the insured’s contract. 2006 ND 187, ¶ 24, 721
14912	2008-02-21	NW_DIGIT_FLIP	689 N.W.2d 473	639 N.W.2d 473	VERIFIED	f such a degree *636 as to pose a threat to others. *Interest of M.B.K.,* 2002 ND 25, ¶ 18, 689 N.W.
14924	2008-03-20	ND_DIGIT_FLIP	2006 ND 168	2006 ND 163	VERIFIED	to understand the factual basis for the court’s decision. *Molitor v. Molitor,*2006 ND 168, ¶ 6, 718
14930	2008-03-24	ND_DIGIT_FLIP	2006 ND 138	2006 ND 133	VERIFIED	tate in order to make an equitable division of property.” *Ulsaker v. White,* 2006 ND 138, ¶ 13, 717
14930	2008-03-24	ND_DIGIT_FLIP	2003 ND 128	2003 ND 123	VERIFIED	s, but it must specify a rationale for its determination. *Bladow v. Bladow,* 2003 ND 128, ¶ 7, 665 
14930	2008-03-24	ND_DIGIT_FLIP	1998 ND 88	1998 ND 83	VERIFIED	Konzak’s argument is misplaced. As this Court explained in *Young v. Young,* 1998 ND 88, ¶ 10, 578 N
14947	2008-03-25	NW_DIGIT_FLIP	650 N.W.2d 818	650 N.W.2d 813	VERIFIED	N.W.2d 547; *New Torn Pub. Sch. Dist. No. 1 v. State Bd. of Pub. Sch. Educ.,* 2002 ND 127, ¶ 17, 650
14949	2008-03-31	ND_DIGIT_FLIP	2006 ND 163	2006 ND 153	VERIFIED	will promote the best interests and welfare of the *89 child.” *Gietzen,* 2006 ND 163, ¶ 7, 718 N.W.
14991	2008-06-05	ND_DIGIT_FLIP	2006 ND 95	2006 ND 93	PDF_HAS_BAD	eal, this Court summarily affirmed Wheeler’s convictions. *State v. Wheeler,* 2006 ND 95, 719 N.W.2d
15033	2008-08-28	NW_DIGIT_FLIP	748 N.W.2d 800	743 N.W.2d 800	VERIFIED	n investigative stop of an automobile. *See City of Grand Forks v. Mitchell,* 2008 ND 5, ¶7, 748 N.W
15034	2008-09-02	ND_DIGIT_FLIP	1997 ND 280	1997 ND 230	VERIFIED	, benefit, claim, privilege, or right.” *Hanson v. Cincinnati Life Ins. Co.,* 1997 ND 280, ¶ 13, 571
15050	2008-09-23	NW_DIGIT_FLIP	787 N.W.2d 627	737 N.W.2d 627	VERIFIED	e review the decision of the agency.” *J.P. v. Stark County Soc. Servs. Bd.,* 2007 ND 140, ¶ 9, 787 
15138	2009-02-03	ND_DIGIT_FLIP	2008 ND 150	2003 ND 150	VERIFIED	h the requirements of the child support guidelines. *Torgerson v. Torgerson,* 2008 ND 150, ¶ 6, 669 
15208	2009-06-17	ND_DIGIT_FLIP	2008 ND 180	2008 ND 130	VERIFIED	ncing evidence.” *R.AS.,*\*7172008 ND 185, ¶ 5, 756 N.W.2d 771 (citing *E.W.F.,*2008 ND 180, ¶ 8, 75
18735	2009-06-17	ND_DIGIT_FLIP	2007 ND 75	2007 ND 55	PDF_HAS_BAD	default judgment is N.D.R.Civ.P. 60(b). Rydell GM Auto Center, Inc. v. Johnson, 2007 ND 75, ¶ 2, 734
18735	2009-06-17	ND_DIGIT_FLIP	2007 ND 75	2007 ND 55	PDF_HAS_BAD	he default judgment. We summarily affirm under N.D.R.App.P. 35.1(a)(7), Rydell, 2007 ND 75, ¶ 2, 734
15223	2009-07-09	ND_DIGIT_FLIP	2008 ND 238	2008 ND 233	VERIFIED	sses, and we will not reweigh the evidence on appeal. *Gus-tafson v. Gustafson,*2008 ND 238, ¶ 11, 7
15257	2009-07-21	NW_DIGIT_FLIP	744 N.W.2d 784	744 N.W.2d 734	VERIFIED	e trash] that society accepts as objectively reasonable.” *State v. Schmalz,* 2008 ND 27, ¶ 22, 744 
15261	2009-08-18	NW_DIGIT_FLIP	747 N.W.2d 468	747 N.W.2d 463	VERIFIED	at he had struck Kurt Obrigew-itch in self-defense. *See State v. Hidanovic,* 2008 ND 66, ¶35, 747 N
15270	2009-08-27	NW_DIGIT_FLIP	745 N.W.2d 862	745 N.W.2d 362	VERIFIED	6(4) warranting an evidentiary hearing. Frueh appealed, and in *Frueh v. Frueh,*2008 ND 26, 745 N.W.
15270	2009-08-27	ND_DIGIT_FLIP	2008 ND 174	2003 ND 174	VERIFIED	ort obligation in deciding whether to modify custody. *Cf McDowell v. McDowell,*2008 ND 174, ¶¶ 12-1
15301	2009-11-30	NW_DIGIT_FLIP	748 N.W.2d 894	748 N.W.2d 394	VERIFIED	n-work risk factors. Swenson relies on *Manske v. Workforce Safety and Ins.,* 2008 ND 79, 748 N.W.2d
15316	2009-12-18	ND_DIGIT_FLIP	2008 ND 109	2003 ND 109	VERIFIED	, 765 N.W.2d 705 (quoting *John T. Jones Constr. Co. v. City of Grand Forks,* 2008 ND 109, ¶ 18, 665
15330	2010-01-12	NW_DIGIT_FLIP	723 N.W.2d 584	723 N.W.2d 534	VERIFIED	in an arbitrary, unreasonable, or unconscionable manner. *State v. Buchholz,* 2006 ND 227, ¶ 7, 723 
15330	2010-01-12	ND_DIGIT_FLIP	2008 ND 30	2003 ND 30	VERIFIED	l situations where the defendant has suffered serious injustice.” *Anderson,* 2008 ND 30, ¶ 8, 657 N
15338	2010-01-26	ND_DIGIT_FLIP	2009 ND 85	2009 ND 35	VERIFIED	bject to the abuse of discretion standard of review.’ ” *Verhey v. McKenzie,* 2009 ND 85, ¶ 5, 763 N
15401	2010-04-06	NW_DIGIT_FLIP	593 N.W.2d 895	593 N.W.2d 395	VERIFIED	interpreted N.D. Admin. Code § 75-02-04.1-02(11) in *Tibor v. Ben-*\*710*drick,*1999 ND 92, 593 N.W.
15403	2010-04-08	NW_DIGIT_FLIP	676 N.W.2d 768	676 N.W.2d 763	VERIFIED	injury, and the burden of avoiding the risk. *See Groleau v. Bjornson Oil Co.,*2004 ND 55, ¶ 16, 676
15417	2010-05-11	ND_DIGIT_FLIP	2009 ND 187	2009 ND 137	VERIFIED	atute first to determine the legislature’s intent. *Matrix Properties Corp.,* 2009 ND 187, ¶ 8, 770 
15439	2010-06-10	NW_DIGIT_FLIP	747 N.W.2d 98	747 N.W.2d 93	VERIFIED	is herewith vacated to that extent. As mandated by *Lynnes v. Lynnes,* [ 2008 ND 71 , 747 N.W.2d 98 
15463	2010-07-13	ND_DIGIT_FLIP	2008 ND 151	2003 ND 151	VERIFIED	on *232 stitutional law, limiting the right. *Id. See also In re Z.C.B.,* 2008 ND 151, ¶15, 669 N.W.
15472	2010-07-13	NW_DIGIT_FLIP	768 N.W.2d 462	763 N.W.2d 462	VERIFIED	einle v. Heinle,*2010 ND 5, ¶ 36, 777 N.W.2d 590; *State ex rel. K.B. v. Bauer,*2009 ND 45, ¶ 8, 768
15546	2010-12-02	NW_DIGIT_FLIP	728 N.W.2d 676	723 N.W.2d 676	VERIFIED	the credibility of witnesses and resolve conflicts in the evidence. *Tverberg,*2006 ND 229, ¶ 8, 728
15546	2010-12-02	NW_DIGIT_FLIP	658 N.W.2d 705	653 N.W.2d 705	VERIFIED	149, ¶ 24, 738 N.W.2d 892 (citing *Myhre v. North Dakota Workers Comp. Bureau,*2002 ND 186, ¶ 10, 65
15599	2011-03-22	NW_DIGIT_FLIP	788 N.W.2d 262	783 N.W.2d 262	VERIFIED	resent value or there are insufficient assets for a present division. *Paulson,*2010 ND 100, ¶ 19, 7
15607	2011-03-22	NW_DIGIT_FLIP	784 N.W.2d 148	784 N.W.2d 143	VERIFIED	ts which, if believed, could lead to a verdict of not guilty. *State v. Wanner,*2010 ND 121, ¶ 9, 78
15607	2011-03-22	NW_DIGIT_FLIP	776 N.W.2d 87	776 N.W.2d 37	VERIFIED	ty. *State v. Wanner,*2010 ND 121, ¶ 9, 784 N.W.2d 148 (quoting *State v. Dahl,*2009 ND 204, ¶ 6, 77
15611	2011-03-25	ND_DIGIT_FLIP	2007 ND 187	2007 ND 137	VERIFIED	ecessarily implied from an express statutory grant.’ ” *City of Fargo v. Malme,*2007 ND 187, ¶ 9, 73
15616	2011-04-12	NW_DIGIT_FLIP	678 N.W.2d 622	673 N.W.2d 622	VERIFIED	ibility. *See Green v. Green,*2009 ND 162, ¶ 13, 772 N.W.2d 612; *Tank v. Tank,*2004 ND 15, ¶ 12, 67
15638	2011-06-21	NW_DIGIT_FLIP	784 N.W.2d 148	784 N.W.2d 143	VERIFIED	tly allowing a witness to testify, “[the movant] must show prejudice.” *Wanner,*2010 ND 121, ¶ 17, 7
15644	2011-06-21	ND_DIGIT_FLIP	2008 ND 119	2008 ND 118	PDF_HAS_BAD	appeal had been filed and briefed by another attorney. *See State v. Schmeets,*2008 ND 119, 756 N.W.
15659	2011-06-21	NW_DIGIT_FLIP	784 N.W.2d 187	784 N.W.2d 137	VERIFIED	State’s right to an appeal is strictly limited \*69 by statute. *State v. Emil,*2010 ND 117, ¶ 5, 78
15707	2011-08-18	NW_DIGIT_FLIP	652 N.W.2d 860	652 N.W.2d 360	VERIFIED	efinite and firm conviction that a mistake has been made.” *Quamme v. Bellino,* 2002 ND 159, ¶ 14 , 
15719	2011-09-15	NW_DIGIT_FLIP	768 N.W.2d 761	763 N.W.2d 761	VERIFIED	practice of a “reasonable person,” of the proscribed conduct. *See Holbach,* 2009 ND 37, ¶ 24, 768 N
15730	2011-10-18	ND_DIGIT_FLIP	2008 ND 284	2008 ND 234	VERIFIED	. The petitioner bears the heavy burden of overcoming this presumption. *Clark,*2008 ND 284, ¶ 12, 7
15744	2011-11-15	ND_DIGIT_FLIP	1998 ND 187	1998 ND 137	VERIFIED	ence on an\*605 other charge, not when he is being held on the pending charge.” 1998 ND 187, ¶ 20, 5
15789	2011-11-15	NW_DIGIT_FLIP	791 N.W.2d 38	791 N.W.2d 33	VERIFIED	w which we review de novo on the entire record. *Missouri Breaks, LLC v. Burns,*2010 ND 221, ¶ 8, 79
15760	2011-12-15	ND_DIGIT_FLIP	2011 ND 88	2011 ND 38	VERIFIED	, 2011 ND 68, ¶19, 795 N.W.2d 899 (quoting Brown v. Montana-Dakota Utils., Co., 2011 ND 88, ¶8, 794 
15760	2011-12-15	ND_DIGIT_FLIP	2008 ND 44	2003 ND 44	VERIFIED	"ng harm to other employees or third persons."" Koehler v. County of Grand Forks, 2008 ND 44, ¶28, 658"
15762	2011-12-22	NW_DIGIT_FLIP	681 N.W.2d 595	631 N.W.2d 595	VERIFIED	"lity offenses and the constitutional interests of the accused."" State v. Holte, 2001 ND 133, ¶11, 68"
